userName,neg,neu,pos,compound,userImage_x,content_x,score_x,thumbsUpCount_x,reviewCreatedVersion_x,at_x,replyContent_x,repliedAt_x,appVersion_x,bert_star,bert_confidence,userImage_y,content_y,score_y,thumbsUpCount_y,reviewCreatedVersion_y,at_y,replyContent_y,repliedAt_y,appVersion_y,bert_3,vader_3,vader_star,diff
User_0,0.0,0.0,1.0,0.4404,,Good,5,0,4.556.10005,2024-12-18 17:17:19,,,4.556.10005,4.0,0.49696317315101624,,Good,5,0,4.556.10005,2024-12-18 17:17:19,,,4.556.10005,pos,pos,3,1.0
User_1,0.0,0.0,1.0,0.4215,,Nice,5,0,4.556.10005,2024-12-18 17:17:17,,,4.556.10005,4.0,0.4368409216403961,,Nice,5,0,4.556.10005,2024-12-18 17:17:17,,,4.556.10005,pos,pos,3,1.0
User_2,0.0,1.0,0.0,0.0,,Very convenient,5,0,4.532.10001,2024-12-18 17:09:42,,,4.532.10001,5.0,0.6274972558021545,,Very convenient,5,0,4.532.10001,2024-12-18 17:09:42,,,4.532.10001,pos,neu,3,0.0
User_3,0.0,0.0,1.0,0.4404,,Good,4,0,4.556.10005,2024-12-18 17:08:27,,,4.556.10005,4.0,0.49696317315101624,,Good,4,0,4.556.10005,2024-12-18 17:08:27,,,4.556.10005,pos,pos,3,0.0
User_4,0.0,1.0,0.0,0.0,,exllence,5,0,4.556.10005,2024-12-18 17:08:16,,,4.556.10005,5.0,0.3026200532913208,,exllence,5,0,4.556.10005,2024-12-18 17:08:16,,,4.556.10005,pos,neu,3,0.0
User_5,0.0,0.662,0.338,0.6221,,Michelle was a very friendly and personable person. Very polite!!,5,0,4.556.10005,2024-12-18 17:06:09,,,4.556.10005,5.0,0.5495493412017822,,Michelle was a very friendly and personable person. Very polite!!,5,0,4.556.10005,2024-12-18 17:06:09,,,4.556.10005,pos,pos,3,0.0
User_6,0.0,1.0,0.0,0.0,,Bast price pr car available,5,0,4.556.10005,2024-12-18 17:06:04,,,4.556.10005,3.0,0.4326723515987396,,Bast price pr car available,5,0,4.556.10005,2024-12-18 17:06:04,,,4.556.10005,neu,neu,3,2.0
User_7,0.0,0.256,0.744,0.4404,,Good service,5,0,4.556.10005,2024-12-18 17:05:20,,,4.556.10005,4.0,0.48900556564331055,,Good service,5,0,4.556.10005,2024-12-18 17:05:20,,,4.556.10005,pos,pos,3,1.0
User_8,0.0,0.0,1.0,0.6249,,Awesome,5,0,4.556.10005,2024-12-18 17:05:10,,,4.556.10005,5.0,0.8306540846824646,,Awesome,5,0,4.556.10005,2024-12-18 17:05:10,,,4.556.10005,pos,pos,3,0.0
User_9,0.0,0.263,0.737,0.4215,,Nice 🙂🙂🙂🙂🙂,5,0,4.556.10005,2024-12-18 17:04:02,,,4.556.10005,5.0,0.4382759928703308,,Nice 🙂🙂🙂🙂🙂,5,0,4.556.10005,2024-12-18 17:04:02,,,4.556.10005,pos,pos,3,0.0
